Species,Estimated population,Fraction Population in PA1,Fraction Population in PA2,Fraction Population lost 2013,Fraction Population lost 2050 BAU,Fraction Population lost 2050 IGS,Fraction Population lost PA 2013,Fraction Population lost PA 2050 BAU,Fraction Population lost PA 2050 IGS,IUCN2013,IUCN2050BAU,IUCN2050IGS,,,,,last modified 02/07/2015
Adelia ricinella,5086462,0.088,0.355,0.009,0.139,0.062,0.000,0.029,0.003,,,,,,,,
Cecropia utcubambana,5069919,0.021,0.316,0.102,0.368,0.207,0.002,0.076,0.023,,VU,,,,,,
Talisia megaphylla,5064478,0.140,0.192,0.073,0.234,0.153,0.002,0.061,0.025,,,,,,,,
Solanum grandiflorum,5062469,0.168,0.303,0.091,0.188,0.130,0.001,0.046,0.025,,,,,,,,
Guapira eggersiana,5044213,0.178,0.219,0.012,0.235,0.114,0.000,0.111,0.020,,,,,,,,
Cordia naidophila,5033992,0.101,0.466,0.075,0.395,0.178,0.001,0.148,0.029,,VU,,,,,,
Pachira orinocensis,5026611,0.188,0.114,0.185,0.382,0.319,0.001,0.040,0.044,,VU,VU,,,,,
Miconia ternatifolia,5011046,0.127,0.095,0.039,0.312,0.231,0.000,0.006,0.004,,VU,,,,,,
Sloanea porphyrocarpa,5007690,0.045,0.357,0.046,0.214,0.091,0.001,0.066,0.008,,,,,,,,
Sterculia rugosa,5000838,0.054,0.230,0.045,0.147,0.113,0.001,0.023,0.014,,,,,,,,
Nectandra latissima,4997738,0.165,0.312,0.082,0.180,0.124,0.001,0.050,0.026,,,,,,,,
Talisia furfuracea,4989486,0.069,0.173,0.036,0.213,0.144,0.001,0.068,0.030,,,,,,,,
Eugenia schunkei,4986338,0.138,0.201,0.080,0.221,0.165,0.002,0.027,0.020,,,,,,,,
Guapira guianensis,4980434,0.096,0.480,0.015,0.011,0.005,0.000,0.003,0.000,,,,,,,,
Erythroxylum amazonicum,4979967,0.204,0.279,0.064,0.230,0.108,0.004,0.060,0.018,,,,,,,,
Hirtella fasciculata,4965859,0.042,0.400,0.139,0.611,0.354,0.005,0.180,0.070,,EN,VU,,,,,
Browneopsis cauliflora,4964784,0.098,0.549,0.011,0.031,0.026,0.000,0.015,0.014,,,,,,,,
Byrsonima garcibarrigae,4963486,0.069,0.424,0.025,0.423,0.230,0.000,0.157,0.068,,VU,,,,,,
Ilex jenmanii,4958453,0.147,0.580,0.020,0.062,0.054,0.001,0.027,0.029,,,,,,,,
Macrolobium campestre,4941453,0.073,0.236,0.491,0.763,0.594,0.034,0.137,0.071,VU,EN,EN,,,,,
Schefflera megacarpa,4938850,0.094,0.505,0.041,0.156,0.094,0.002,0.059,0.035,,,,,,,,
Himatanthus obovatus,4935149,0.063,0.553,0.076,0.263,0.114,0.002,0.061,0.014,,,,,,,,
Myrcia servata,4933993,0.045,0.274,0.034,0.252,0.161,0.001,0.082,0.035,,,,,,,,
Licania rigida,4932927,0.166,0.474,0.070,0.167,0.129,0.006,0.064,0.048,,,,,,,,
Guarea carapoides,4923425,0.048,0.276,0.024,0.080,0.065,0.001,0.019,0.017,,,,,,,,
Schistostemon macrophyllum,4922586,0.034,0.405,0.006,0.103,0.030,0.000,0.040,0.009,,,,,,,,
Rhodostemonodaphne recurva,4916359,0.042,0.393,0.063,0.559,0.292,0.001,0.172,0.061,,EN,,,,,,
Cordia silvestris,4913336,0.022,0.256,0.355,0.744,0.506,0.011,0.118,0.045,VU,EN,EN,,,,,
Inga venusta,4908795,0.285,0.089,0.118,0.429,0.237,0.006,0.060,0.031,,VU,,,,,,
Annona squamosa,4908047,0.079,0.457,0.052,0.656,0.278,0.000,0.317,0.111,,EN,,,,,,
Swartzia leblondii,4900808,0.248,0.210,0.009,0.252,0.104,0.000,0.162,0.033,,,,,,,,
Duguetia dimorphopetala,4899356,0.097,0.533,0.039,0.356,0.233,0.002,0.122,0.071,,VU,,,,,,
Swartzia picta,4880410,0.096,0.624,0.024,0.111,0.078,0.001,0.035,0.022,,,,,,,,
Eugenia nesiotica,4878022,0.187,0.116,0.185,0.381,0.318,0.001,0.040,0.044,,VU,VU,,,,,
Cheiloclinium hippocrateoides,4876808,0.145,0.468,0.020,0.089,0.070,0.000,0.036,0.025,,,,,,,,
Tovomita martiana,4871101.535,0.124034761,0.424910014,0.038635501,0.397236045,0.167198745,3.23763E-05,0.158971447,0.032030095,,VU,,,,,,
Rudgea lanceifolia,4864082,0.051,0.407,0.032,0.120,0.068,0.001,0.044,0.022,,,,,,,,
Casearia negrensis,4859360,0.052,0.482,0.147,0.580,0.324,0.005,0.235,0.092,,EN,VU,,,,,
Ocotea gardneri,4848575,0.024,0.414,0.039,0.077,0.067,0.002,0.034,0.031,,,,,,,,
Caryocar harlingii,4835251,0.074,0.476,0.043,0.160,0.094,0.002,0.061,0.035,,,,,,,,
Senna atomaria,4820977,0.095,0.477,0.015,0.012,0.005,0.000,0.003,0.000,,,,,,,,
Endlicheria metallica,4819116,0.151,0.285,0.080,0.180,0.145,0.001,0.024,0.024,,,,,,,,
Miconia tetrasperma,4816720,0.029,0.363,0.181,0.452,0.259,0.001,0.067,0.027,,VU,,,,,,
Pentagonia macrophylla,4812941,0.138,0.294,0.063,0.166,0.131,0.001,0.025,0.021,,,,,,,,
Byrsonima cydoniifolia,4790452,0.015,0.227,0.408,0.744,0.431,0.010,0.051,0.009,VU,EN,VU,,,,,
Eugenia uniflora,4780502,0.140,0.368,0.054,0.486,0.245,0.001,0.172,0.063,,VU,,,,,,
Miconia myriantha,4774403,0.088,0.355,0.204,0.417,0.269,0.002,0.086,0.021,,VU,,,,,,
Eugenia tetramera,4772220,0.459,0.238,0.006,0.198,0.053,0.000,0.161,0.026,,,,,,,,
Inga cordistipula,4756597,0.183,0.195,0.087,0.266,0.107,0.007,0.029,0.014,,,,,,,,
Calyptranthes maxima,4754377,0.146,0.295,0.083,0.229,0.164,0.002,0.042,0.028,,,,,,,,
Guatteria paraensis,4748302,0.008,0.226,0.407,0.684,0.438,0.004,0.049,0.007,VU,EN,VU,,,,,
Malouetia guianensis,4744877,0.220,0.256,0.017,0.524,0.269,0.000,0.295,0.105,,EN,,,,,,
Dulacia egleri,4743754,0.014,0.238,0.403,0.734,0.429,0.009,0.052,0.008,VU,EN,VU,,,,,
Cordia panicularis,4733570,0.090,0.481,0.033,0.459,0.216,0.000,0.194,0.079,,VU,,,,,,
Stephanopodium peruvianum,4729230,0.151,0.356,0.082,0.211,0.171,0.002,0.028,0.028,,,,,,,,
Palicourea lasiantha,4728422,0.126,0.220,0.169,0.413,0.335,0.001,0.057,0.036,,VU,VU,,,,,
Stryphnodendron microstachyum,4727964,0.071,0.443,0.071,0.159,0.126,0.002,0.042,0.032,,,,,,,,
Talisia simaboides,4724487,0.202,0.198,0.018,0.259,0.129,0.000,0.143,0.037,,,,,,,,
Machaerium villosum,4718147,0.170,0.288,0.170,0.282,0.192,0.001,0.032,0.005,,,,,,,,
Inga vera,4713106,0.100,0.365,0.133,0.440,0.238,0.002,0.148,0.042,,VU,,,,,,
Spathelia excelsa,4700617,0.049,0.467,0.077,0.506,0.226,0.001,0.224,0.064,,EN,,,,,,
Byrsonima concinna,4698493,0.151,0.513,0.040,0.151,0.094,0.001,0.061,0.032,,,,,,,,
Calliandra guildingii,4688535,0.101,0.445,0.032,0.105,0.058,0.000,0.025,0.013,,,,,,,,
Inga megaphylla,4679942,0.035,0.531,0.013,0.088,0.036,0.000,0.031,0.014,,,,,,,,
Inga jinicuil,4677737,0.058,0.479,0.019,0.031,0.028,0.000,0.008,0.010,,,,,,,,
Talisia sylvatica,4675928,0.073,0.446,0.017,0.041,0.029,0.000,0.011,0.006,,,,,,,,
Himatanthus stenophyllus,4671825,0.061,0.487,0.031,0.498,0.251,0.000,0.199,0.077,,VU,,,,,,
Licania davillifolia,4670860,0.093,0.396,0.015,0.299,0.127,0.000,0.122,0.035,,,,,,,,
Swartzia anomala,4670248,0.140,0.422,0.040,0.384,0.154,0.000,0.151,0.021,,VU,,,,,,
Tovomita krukovii,4665803.327,0.086052437,0.358743941,0.009001017,0.139663381,0.063123296,0,0.029079005,0.003033595,,,,,,,,
Anacardium tenuifolium,4665578,0.092,0.222,0.507,0.764,0.575,0.056,0.135,0.075,EN,EN,EN,,,,,
Pradosia decipiens,4665170,0.047,0.381,0.029,0.628,0.299,0.000,0.232,0.093,,EN,,,,,,
Vochysia braceliniae,4633765.883,0.134602748,0.177237341,0.080750541,0.234025777,0.149672455,0.002972929,0.030600697,0.021935376,,,,,,,,
Inga suberosa,4633548,0.077,0.444,0.135,0.557,0.286,0.001,0.213,0.057,,EN,,,,,,
Pleurothyrium insigne,4631700,0.119,0.318,0.057,0.168,0.116,0.001,0.026,0.017,,,,,,,,
Ficus trianae,4631040,0.038,0.260,0.029,0.103,0.080,0.001,0.022,0.021,,,,,,,,
Trattinnickia lancifolia,4614235.645,0.080648934,0.513775732,0.008441961,0.056756773,0.02713286,0,0.021070895,0.011644877,,,,,,,,
Kubitzkia mezii,4611255,0.122,0.292,0.042,0.459,0.235,0.001,0.142,0.045,,VU,,,,,,
Quiina cruegeriana,4610061,0.151,0.383,0.048,0.295,0.180,0.001,0.060,0.030,,,,,,,,
Maytenus oblongata,4604392,0.172,0.148,0.012,0.281,0.150,0.000,0.109,0.023,,,,,,,,
Pouteria penicillata,4602130,0.008,0.230,0.464,0.839,0.579,0.019,0.109,0.043,VU,CR,EN,,,,,
Eschweilera rionegrense,4598729,0.074,0.627,0.010,0.176,0.044,0.000,0.067,0.016,,,,,,,,
Ladenbergia muzonensis,4598028,0.052,0.333,0.063,0.308,0.233,0.001,0.062,0.045,,VU,,,,,,
Guapira costaricana,4595888,0.103,0.517,0.022,0.097,0.059,0.000,0.025,0.018,,,,,,,,
Luehea grandiflora,4589991,0.136,0.365,0.171,0.347,0.216,0.001,0.049,0.018,,VU,,,,,,
Pouteria arcuata,4586373,0.046,0.516,0.016,0.097,0.053,0.000,0.034,0.020,,,,,,,,
Ocotea brenesii,4584255,0.177,0.552,0.035,0.165,0.095,0.005,0.075,0.053,,,,,,,,
Trema integerrima,4582209.705,0.211339866,0.197570312,0.13452627,0.345398488,0.268624749,0.001441021,0.053538399,0.041336371,,VU,,,,,,
Duroia bolivarensis,4578461,0.146,0.596,0.011,0.036,0.034,0.000,0.015,0.020,,,,,,,,
Dipteryx rosea,4575233,0.074,0.627,0.010,0.176,0.044,0.000,0.067,0.016,,,,,,,,
Licania robusta,4574747,0.131,0.274,0.027,0.397,0.176,0.000,0.176,0.033,,VU,,,,,,
Myrcia graciliflora,4567453,0.024,0.231,0.251,0.357,0.287,0.006,0.042,0.021,,VU,,,,,,
Manihot brachyloba,4565337,0.132,0.407,0.075,0.617,0.217,0.001,0.323,0.049,,EN,,,,,,
Enterolobium cyclocarpum,4564687,0.214,0.283,0.059,0.237,0.142,0.002,0.054,0.032,,,,,,,,
Maytenus pustulata,4564188,0.096,0.623,0.043,0.145,0.106,0.002,0.069,0.045,,,,,,,,
Ocotea obovata,4563296,0.117,0.232,0.104,0.235,0.177,0.004,0.034,0.024,,,,,,,,
Duguetia sancticaroli,4551737,0.074,0.628,0.010,0.176,0.044,0.000,0.067,0.016,,,,,,,,
Hieronyma huilensis,4540984,0.127,0.501,0.012,0.030,0.009,0.000,0.009,0.002,,,,,,,,
Raputia aromatica,4517004,0.089,0.554,0.025,0.059,0.050,0.001,0.016,0.013,,,,,,,,
Acalypha stenoloba,4510110,0.216,0.276,0.127,0.343,0.216,0.003,0.071,0.034,,VU,,,,,,
Gloeospermum longifolium,4509344,0.087,0.185,0.070,0.195,0.152,0.002,0.023,0.018,,,,,,,,
Miconia serialis,4505731,0.038,0.148,0.553,0.825,0.668,0.029,0.081,0.048,EN,CR,EN,,,,,
Chrysochlamys bracteolata,4496132,0.087,0.171,0.083,0.206,0.167,0.001,0.022,0.019,,,,,,,,
Pouteria pimichinensis,4492333,0.108,0.646,0.031,0.206,0.104,0.002,0.126,0.059,,,,,,,,
Pagamea duckei,4468551,0.100,0.536,0.018,0.269,0.128,0.001,0.101,0.040,,,,,,,,
Mezilaurus opaca,4467944,0.047,0.424,0.041,0.115,0.080,0.001,0.040,0.028,,,,,,,,
Sapium paucinervium,4453157,0.188,0.374,0.081,0.497,0.204,0.002,0.233,0.046,,VU,,,,,,
Aldina discolor,4450101,0.177,0.679,0.011,0.072,0.024,0.000,0.048,0.014,,,,,,,,
Protium urophyllidium,4434849,0.092,0.488,0.042,0.261,0.127,0.001,0.091,0.026,,,,,,,,
Taralea nudipes,4429866,0.172,0.584,0.012,0.035,0.035,0.000,0.015,0.021,,,,,,,,
Apeiba albiflora,4419087,0.008,0.486,0.165,0.786,0.363,0.003,0.331,0.038,,EN,VU,,,,,
Erythroxylum mucronatum,4415706,0.125,0.366,0.129,0.418,0.216,0.003,0.143,0.033,,VU,,,,,,
Acalypha macrostachya,4405606,0.266,0.382,0.035,0.230,0.129,0.001,0.075,0.041,,,,,,,,
Endlicheria mishuyacensis,4389465,0.071,0.319,0.033,0.101,0.077,0.001,0.020,0.018,,,,,,,,
Ericoides racemosum,4385821,0.030,0.621,0.068,0.561,0.259,0.001,0.316,0.128,,EN,,,,,,
Vochysia kosnipatae,4385440.149,0.015840293,0.550099324,0.020295745,0.220183894,0.100934841,0.00049395,0.065511285,0.027922449,,,,,,,,
Hirtella physophora,4378122,0.098,0.316,0.016,0.295,0.108,0.000,0.090,0.013,,,,,,,,
Klarobelia napoensis,4369583,0.167,0.174,0.126,0.328,0.257,0.004,0.035,0.025,,VU,,,,,,
Guettarda spruceana,4367007,0.025,0.302,0.199,0.516,0.275,0.004,0.106,0.020,,EN,,,,,,
Rhodostemonodaphne crenaticupula,4364905,0.089,0.549,0.030,0.218,0.087,0.001,0.068,0.020,,,,,,,,
Casimirella ampla,4357823,0.029,0.354,0.303,0.781,0.425,0.009,0.210,0.029,VU,EN,VU,,,,,
Trophis caucana,4343981.888,0.183774746,0.421745286,0.040252496,0.175560595,0.107029255,0.002067248,0.058047656,0.030368312,,,,,,,,
Pleurothyrium tomentellum,4333513,0.142,0.029,0.045,0.358,0.266,0.000,0.003,0.002,,VU,,,,,,
Diospyros bullata,4322789,0.034,0.575,0.012,0.208,0.091,0.000,0.081,0.029,,,,,,,,
Erythroxylum anguifugum,4322705,0.018,0.245,0.396,0.695,0.421,0.008,0.048,0.010,VU,EN,VU,,,,,
Aiphanes ulei,4322021,0.031,0.258,0.027,0.101,0.078,0.001,0.022,0.020,,,,,,,,
Guatteria friesiana,4311393,0.031,0.297,0.460,0.714,0.530,0.001,0.104,0.019,VU,EN,EN,,,,,
Rinorea brevipes,4298311,0.123,0.222,0.021,0.118,0.070,0.001,0.045,0.020,,,,,,,,
Licania cuyabenensis,4290958.94,0.258839522,0.118115053,0.114299734,0.378476979,0.226098942,0.005129393,0.050410214,0.028442321,,,,,,,,
Qualea parviflora,4289277,0.009,0.209,0.409,0.764,0.463,0.013,0.053,0.011,VU,EN,VU,,,,,
Rudgea hostmanniana,4289174,0.074,0.423,0.034,0.142,0.118,0.002,0.051,0.040,,,,,,,,
Ilex guayusa,4288345,0.158,0.574,0.013,0.039,0.039,0.000,0.016,0.023,,,,,,,,
Myrcia citrifolia,4285112,0.135,0.582,0.013,0.048,0.042,0.000,0.019,0.024,,,,,,,,
Libidibia paraguariensis,4276875,0.200,0.516,0.032,0.055,0.031,0.000,0.010,0.002,,,,,,,,
Humiria floribunda,4274374,0.130,0.432,0.042,0.349,0.147,0.000,0.136,0.024,,VU,,,,,,
Cynophalla amplissima,4272398,0.245,0.385,0.042,0.243,0.144,0.001,0.059,0.033,,,,,,,,
Chelyocarpus ulei,4258223,0.203,0.230,0.083,0.282,0.196,0.002,0.043,0.027,,,,,,,,
Styrax sieberi,4255996,0.057,0.406,0.368,0.650,0.379,0.006,0.180,0.024,VU,EN,VU,,,,,
Inga quaternata,4242460,0.119,0.499,0.034,0.140,0.091,0.001,0.034,0.019,,,,,,,,
Preslianthus pittieri,4236700,0.086,0.379,0.047,0.127,0.090,0.001,0.038,0.026,,,,,,,,
Vantanea tuberculata,4234635.544,0.112793584,0.565669535,0.0243025,0.096040134,0.059918202,0.001086907,0.036864189,0.024192154,,,,,,,,
Miconia biglandulosa,4234278,0.058,0.507,0.062,0.477,0.236,0.002,0.216,0.092,,VU,,,,,,
Connarus ruber,4230714,0.053,0.523,0.150,0.594,0.266,0.002,0.269,0.047,,EN,,,,,,
Dendropanax neblinae,4227338,0.174,0.518,0.038,0.279,0.181,0.003,0.105,0.062,,,,,,,,
Palicourea grandiflora,4225979,0.187,0.426,0.032,0.206,0.126,0.005,0.079,0.037,,,,,,,,
Diospyros manu,4225183,0.170,0.375,0.040,0.334,0.177,0.001,0.080,0.037,,VU,,,,,,
Campnosperma gummiferum,4221584,0.159,0.580,0.015,0.043,0.043,0.000,0.016,0.023,,,,,,,,
Brosimum multinervium,4221498,0.034,0.528,0.025,0.100,0.052,0.001,0.034,0.018,,,,,,,,
Cordia trichotoma,4218143,0.168,0.273,0.095,0.229,0.178,0.002,0.024,0.020,,,,,,,,
Campnosperma gummifera,4215345,0.202,0.557,0.017,0.051,0.041,0.000,0.018,0.019,,,,,,,,
Duguetia decurrens,4206382,0.042,0.157,0.035,0.172,0.134,0.001,0.028,0.018,,,,,,,,
Naucleopsis guianensis,4201323,0.271,0.257,0.010,0.326,0.133,0.000,0.217,0.053,,VU,,,,,,
Myrcia guianensis,4198955,0.095,0.398,0.089,0.340,0.186,0.001,0.108,0.041,,VU,,,,,,
Seguieria aculeata,4186344,0.029,0.380,0.033,0.207,0.128,0.000,0.092,0.040,,,,,,,,
Ilex petiolaris,4180916,0.033,0.367,0.220,0.452,0.315,0.010,0.081,0.035,,VU,VU,,,,,
Humiriastrum subcrenatum,4179960,0.201,0.216,0.015,0.423,0.226,0.000,0.222,0.077,,VU,,,,,,
Inga loubryana,4169947,0.188,0.169,0.011,0.276,0.149,0.000,0.132,0.034,,,,,,,,
Neea stellulata,4168584,0.022,0.586,0.046,0.622,0.209,0.000,0.348,0.070,,EN,,,,,,
Blastemanthus gemmiflorus,4166083,0.114,0.627,0.035,0.201,0.105,0.002,0.118,0.057,,,,,,,,
Diptychandra aurantiaca,4157769,0.136,0.209,0.269,0.457,0.321,0.002,0.038,0.009,,VU,VU,,,,,
Nectandra umbrosa,4156959,0.073,0.469,0.027,0.133,0.077,0.000,0.033,0.020,,,,,,,,
Matayba macrocarpa,4149953,0.059,0.392,0.030,0.102,0.068,0.001,0.034,0.023,,,,,,,,
Sapium ciliatum,4149477,0.136,0.207,0.143,0.434,0.296,0.004,0.076,0.031,,VU,,,,,,
Hirtella bullata,4149105,0.063,0.290,0.216,0.504,0.291,0.002,0.059,0.017,,EN,,,,,,
Beilschmiedia pendula,4139323,0.127,0.211,0.067,0.166,0.130,0.001,0.020,0.017,,,,,,,,
Rauvolfia praecox,4133521,0.179,0.311,0.038,0.229,0.139,0.001,0.055,0.030,,,,,,,,
Rinorea ovalifolia,4126712,0.014,0.166,0.618,0.848,0.656,0.014,0.041,0.031,EN,CR,EN,,,,,
Xylosma intermedia,4123611.785,0.194616222,0.268521835,0.069322264,0.294790096,0.19066301,0.001679804,0.055253459,0.029384367,,,,,,,,
Diospyros nanay,4109419,0.123,0.242,0.072,0.159,0.089,0.001,0.022,0.015,,,,,,,,
Miconia traillii,4100901,0.120,0.405,0.026,0.388,0.137,0.001,0.122,0.031,,VU,,,,,,
Froesia diffusa,4098365,0.038,0.474,0.020,0.050,0.038,0.000,0.018,0.014,,,,,,,,
Protium cuneifolium,4094496,0.218,0.599,0.009,0.024,0.025,0.000,0.012,0.015,,,,,,,,
Lueheopsis althaeiflora,4089046,0.077,0.482,0.044,0.169,0.098,0.002,0.063,0.034,,,,,,,,
Sloanea macrophylla,4085512,0.096,0.473,0.028,0.126,0.080,0.001,0.042,0.027,,,,,,,,
Calycolpus revolutus,4082789,0.083,0.158,0.035,0.203,0.149,0.001,0.040,0.022,,,,,,,,
Talisia hemidasya,4064655,0.298,0.263,0.129,0.311,0.162,0.001,0.107,0.015,,VU,,,,,,
Cecropia strigosa,4055372,0.136,0.397,0.034,0.242,0.144,0.001,0.053,0.028,,,,,,,,
Licania irwinii,4052776,0.179,0.171,0.012,0.269,0.158,0.000,0.114,0.030,,,,,,,,
Machaerium robiniifolium,4047112,0.175,0.245,0.193,0.352,0.229,0.001,0.037,0.007,,VU,,,,,,
Lissocarpa stenocarpa,4046481,0.048,0.433,0.031,0.092,0.058,0.001,0.035,0.024,,,,,,,,
Pourouma napoensis,4045035,0.108,0.185,0.102,0.278,0.220,0.004,0.033,0.024,,,,,,,,
Licania longipetala,4040161,0.088,0.508,0.060,0.496,0.193,0.001,0.239,0.039,,VU,,,,,,
Piptocoma discolor,4040065,0.121,0.118,0.269,0.607,0.526,0.002,0.053,0.044,,EN,EN,,,,,
Swartzia arumateuana,4039617,0.004,0.721,0.051,0.654,0.240,0.001,0.428,0.097,,EN,,,,,,
Guarea caulobotrys,4034217,0.095,0.366,0.075,0.231,0.154,0.002,0.035,0.023,,,,,,,,
Aspidosperma ulei,4024173,0.055,0.366,0.076,0.461,0.298,0.000,0.146,0.053,,VU,,,,,,
Ruagea glabra,4018956,0.150,0.273,0.270,0.469,0.306,0.002,0.057,0.010,,VU,VU,,,,,
Quararibea spatulata,4018395,0.194,0.212,0.087,0.261,0.186,0.002,0.057,0.027,,,,,,,,
Faramea parvibractea,4017273,0.153,0.348,0.060,0.135,0.114,0.001,0.020,0.023,,,,,,,,
Guatteriella tomentosa,4014477,0.148,0.577,0.014,0.040,0.042,0.000,0.017,0.025,,,,,,,,
Licania affinis,4004481,0.023,0.343,0.159,0.736,0.308,0.002,0.190,0.025,,EN,VU,,,,,
Miconia hypoleuca,4003676,0.064,0.193,0.064,0.273,0.188,0.002,0.062,0.026,,,,,,,,
Cecropia insignis,4000776,0.133,0.626,0.006,0.028,0.023,0.000,0.012,0.014,,,,,,,,
Swartzia auriculata,3997337,0.076,0.262,0.004,0.250,0.085,0.000,0.058,0.009,,,,,,,,
Eschweilera revoluta,3992159,0.098,0.636,0.015,0.145,0.058,0.001,0.074,0.030,,,,,,,,
Parachimarrhis breviloba,3990260,0.037,0.406,0.018,0.035,0.031,0.000,0.018,0.014,,,,,,,,
Heisteria insculpta,3982968,0.091,0.107,0.018,0.147,0.091,0.000,0.024,0.009,,,,,,,,
Couepia sandwithii,3980400,0.057,0.390,0.017,0.054,0.028,0.000,0.021,0.009,,,,,,,,
Guatteria intermedia,3977055,0.351,0.418,0.003,0.240,0.026,0.000,0.229,0.019,,,,,,,,
Guatteria modesta,3970800,0.134,0.626,0.006,0.028,0.023,0.000,0.012,0.014,,,,,,,,
Eriotheca candolleana,3970210,0.043,0.403,0.186,0.636,0.322,0.004,0.182,0.062,,EN,VU,,,,,
Senna undulata,3966557,0.088,0.461,0.015,0.009,0.004,0.000,0.002,0.000,,,,,,,,
Guapira ferruginea,3966443,0.097,0.483,0.015,0.011,0.005,0.000,0.002,0.000,,,,,,,,
Tapura peruviana,3953250,0.105,0.429,0.041,0.122,0.080,0.001,0.035,0.021,,,,,,,,
Quararibea loretoyacuensis,3951903,0.034,0.463,0.013,0.062,0.031,0.000,0.026,0.013,,,,,,,,
Calliandra magdalenae,3951708,0.068,0.487,0.037,0.382,0.186,0.001,0.121,0.042,,VU,,,,,,
Ouratea kananariensis,3946792,0.152,0.589,0.013,0.040,0.038,0.000,0.015,0.021,,,,,,,,
Cassia cowanii,3942785,0.086,0.258,0.051,0.185,0.130,0.001,0.034,0.023,,,,,,,,
Cecropia litoralis,3925790,0.109,0.468,0.052,0.183,0.110,0.003,0.068,0.039,,,,,,,,
Bursera simaruba,3924077,0.095,0.477,0.015,0.012,0.005,0.000,0.003,0.000,,,,,,,,
Cupania americana,3921745,0.147,0.406,0.045,0.193,0.113,0.001,0.044,0.022,,,,,,,,
Mouriri sideroxylon,3907458,0.069,0.231,0.050,0.223,0.171,0.002,0.051,0.033,,,,,,,,
Elaeis oleifera,3903810,0.066,0.441,0.042,0.685,0.321,0.000,0.316,0.145,,EN,VU,,,,,
Eugenia illepida,3902266,0.091,0.644,0.010,0.372,0.160,0.000,0.228,0.080,,VU,,,,,,
Ilex umbellata,3889650,0.015,0.411,0.008,0.012,0.008,0.000,0.002,0.001,,,,,,,,
Calycorectes bergii,3888892,0.023,0.408,0.002,0.093,0.050,0.000,0.086,0.045,,,,,,,,
Hippotis mollis,3875418,0.042,0.170,0.029,0.082,0.064,0.000,0.012,0.011,,,,,,,,
Dacryodes trinitensis,3853691,0.109,0.356,0.007,0.052,0.064,0.000,0.029,0.022,,,,,,,,
Swartzia trianae,3845729,0.187,0.118,0.184,0.380,0.318,0.001,0.040,0.044,,VU,VU,,,,,
Licaria rodriguesii,3842249,0.044,0.406,0.042,0.489,0.260,0.001,0.154,0.063,,VU,,,,,,
Aiouea piauhyensis,3841302,0.005,0.328,0.503,0.795,0.519,0.010,0.158,0.026,EN,EN,EN,,,,,
Eugenia myrobalana,3838381,0.076,0.641,0.046,0.538,0.206,0.001,0.335,0.080,,EN,,,,,,
Patinoa ichthyotoxica,3828863,0.032,0.532,0.010,0.076,0.028,0.000,0.027,0.011,,,,,,,,
Ambelania occidentalis,3828307,0.075,0.490,0.021,0.073,0.049,0.000,0.027,0.023,,,,,,,,
Gavarretia terminalis,3817953,0.048,0.407,0.025,0.164,0.079,0.001,0.061,0.024,,,,,,,,
Zanthoxylum paulae,3817423.426,0.035567634,0.324118269,0.332231875,0.684009561,0.475149628,0.013743188,0.153679731,0.050134302,VU,EN,VU,,,,,
Tabernaemontana angulata,3817067,0.045,0.458,0.034,0.524,0.274,0.000,0.190,0.079,,EN,,,,,,
Mouriri oligantha,3814630,0.164,0.438,0.034,0.328,0.127,0.000,0.176,0.037,,VU,,,,,,
Drypetes sessiliflora,3813793,0.041,0.343,0.017,0.528,0.217,0.000,0.176,0.073,,EN,,,,,,
Siparuna crassiflora,3813632,0.055,0.356,0.029,0.617,0.294,0.000,0.208,0.078,,EN,,,,,,
Coccoloba lepidota,3800986,0.172,0.282,0.049,0.379,0.223,0.001,0.072,0.032,,VU,,,,,,
Phyllanthus juglandifolius,3792951,0.118,0.320,0.059,0.439,0.249,0.001,0.109,0.029,,VU,,,,,,
Mollia ulei,3785614,0.046,0.555,0.041,0.557,0.260,0.000,0.281,0.098,,EN,,,,,,
Quiina longifolia,3771476,0.088,0.577,0.032,0.252,0.131,0.002,0.119,0.053,,,,,,,,
Eugenia dittocrepis,3770301,0.096,0.359,0.070,0.203,0.147,0.002,0.048,0.032,,,,,,,,
Guarea guentheri,3768175,0.164,0.187,0.128,0.335,0.261,0.004,0.037,0.026,,VU,,,,,,
Margaritopsis boliviana,3761989,0.164,0.295,0.214,0.338,0.235,0.001,0.041,0.008,,VU,,,,,,
Ocotea esmeraldana,3761517,0.150,0.422,0.038,0.373,0.149,0.000,0.148,0.021,,VU,,,,,,
Chimarrhis microcarpa,3760524,0.262,0.256,0.009,0.182,0.053,0.000,0.133,0.019,,,,,,,,
Coussarea klugii,3760149,0.066,0.236,0.046,0.142,0.108,0.001,0.024,0.021,,,,,,,,
Schistostemon oblongifolium,3758491,0.140,0.597,0.018,0.054,0.043,0.001,0.022,0.021,,,,,,,,
Buchenavia fanshawei,3757532,0.096,0.375,0.030,0.369,0.199,0.000,0.111,0.047,,VU,,,,,,
Ocotea aurantiodora,3742188,0.088,0.159,0.025,0.222,0.172,0.001,0.039,0.015,,,,,,,,
Allophylus paniculatus,3735102,0.031,0.534,0.010,0.076,0.028,0.000,0.027,0.011,,,,,,,,
Ruprechtia laxiflora,3717409,0.088,0.275,0.119,0.566,0.365,0.001,0.104,0.025,,EN,VU,,,,,
