Species,Estimated population,Fraction Population in PA1,Fraction Population in PA2,Fraction Population lost 2013,Fraction Population lost 2050 BAU,Fraction Population lost 2050 IGS,Fraction Population lost PA 2013,Fraction Population lost PA 2050 BAU,Fraction Population lost PA 2050 IGS,IUCN2013,IUCN2050BAU,IUCN2050IGS,,,,,last modified 02/07/2015
Lecythis idatimon,583293611,0.072,0.199,0.403,0.682,0.506,0.028,0.118,0.047,VU,EN,EN,,,,,
Eschweilera tessmannii,580536305,0.071,0.493,0.039,0.368,0.154,0.001,0.171,0.044,,VU,,,,,,
Sacoglottis guianensis,574887303,0.067,0.393,0.150,0.515,0.262,0.002,0.156,0.039,,EN,,,,,,
Sagotia brachysepala,564012622,0.016,0.201,0.582,0.804,0.647,0.015,0.087,0.041,EN,CR,EN,,,,,
Pseudolmedia macrophylla,563914665,0.054,0.366,0.224,0.516,0.304,0.003,0.099,0.026,,EN,VU,,,,,
Otoba parvifolia,559478307,0.144,0.429,0.031,0.173,0.097,0.001,0.048,0.024,,,,,,,,
Eschweilera atropetiolata,559308640,0.069,0.465,0.044,0.415,0.184,0.001,0.186,0.053,,VU,,,,,,
Amaioua guianensis,550363402,0.035,0.286,0.306,0.615,0.366,0.005,0.068,0.016,VU,EN,VU,,,,,
Iryanthera laevis,547332412,0.089,0.410,0.110,0.368,0.194,0.003,0.127,0.034,,VU,,,,,,
Conceveiba guianensis,537666027,0.078,0.426,0.069,0.350,0.179,0.002,0.131,0.041,,VU,,,,,,
Cheiloclinium cognatum,535526237,0.064,0.363,0.252,0.545,0.309,0.002,0.095,0.016,,EN,VU,,,,,
Pouteria elegans,531574474,0.068,0.408,0.036,0.306,0.140,0.001,0.108,0.032,,VU,,,,,,
Maquira coriacea,527915372,0.101,0.349,0.083,0.348,0.167,0.001,0.108,0.032,,VU,,,,,,
Pourouma guianensis,523947325,0.083,0.371,0.199,0.475,0.292,0.006,0.123,0.037,,VU,,,,,,
Monopteryx uaucu,521511162,0.111,0.578,0.025,0.200,0.116,0.001,0.074,0.040,,,,,,,,
Lecythis corrugata,521077487,0.103,0.276,0.034,0.194,0.104,0.001,0.065,0.017,,,,,,,,
Rinoreocarpus ulei,519967234,0.071,0.277,0.255,0.580,0.340,0.001,0.097,0.021,,EN,VU,,,,,
Qualea paraensis,516031125,0.094,0.419,0.100,0.384,0.203,0.002,0.146,0.044,,VU,,,,,,
Iryanthera ulei,510641009,0.103,0.482,0.046,0.212,0.112,0.001,0.080,0.030,,,,,,,,
Eschweilera parvifolia,503022425,0.113,0.427,0.077,0.194,0.130,0.003,0.042,0.025,,,,,,,,
Protium tenuifolium,493736437,0.083,0.423,0.205,0.539,0.277,0.004,0.194,0.037,,EN,,,,,,
Calophyllum brasiliense,490511222,0.091,0.370,0.152,0.394,0.226,0.004,0.086,0.031,,VU,,,,,,
Gustavia hexapetala,488278979,0.114,0.372,0.087,0.442,0.185,0.001,0.182,0.029,,VU,,,,,,
Mezilaurus itauba,486402698,0.082,0.444,0.130,0.464,0.234,0.002,0.157,0.042,,VU,,,,,,
Eschweilera sagotiana,486275905,0.059,0.214,0.027,0.152,0.104,0.001,0.043,0.022,,,,,,,,
Cenostigma tocantinum,485856970,0.044,0.402,0.347,0.790,0.406,0.010,0.258,0.033,VU,EN,VU,,,,,
Catostemma fragrans,481715201,0.059,0.168,0.030,0.159,0.125,0.001,0.036,0.026,,,,,,,,
Eschweilera parviflora,480332019,0.108,0.455,0.030,0.187,0.101,0.002,0.083,0.036,,,,,,,,
Pseudobombax munguba,477049889,0.064,0.365,0.035,0.351,0.155,0.001,0.114,0.035,,VU,,,,,,
Licania octandra,474880556,0.066,0.499,0.077,0.452,0.189,0.002,0.209,0.051,,VU,,,,,,
Luehea cymulosa,473101168,0.100,0.318,0.050,0.322,0.171,0.001,0.087,0.039,,VU,,,,,,
Eschweilera pedicellata,472965652,0.076,0.374,0.098,0.392,0.207,0.003,0.142,0.037,,VU,,,,,,
Guarea macrophylla,471662256,0.134,0.398,0.068,0.212,0.135,0.002,0.061,0.030,,,,,,,,
Osteophloeum platyspermum,470243080,0.087,0.453,0.064,0.320,0.164,0.002,0.128,0.042,,VU,,,,,,
Scleronema micranthum,467965715,0.066,0.493,0.021,0.276,0.136,0.000,0.098,0.040,,,,,,,,
Haploclathra cordata,464377155,0.038,0.418,0.060,0.118,0.093,0.000,0.038,0.029,,,,,,,,
Astrocaryum sciophilum,457717415,0.185,0.323,0.008,0.154,0.056,0.000,0.110,0.023,,,,,,,,
Micropholis venulosa,455541240,0.075,0.419,0.086,0.368,0.185,0.002,0.133,0.041,,VU,,,,,,
Sterculia pruriens,454354117,0.069,0.331,0.248,0.533,0.342,0.011,0.133,0.038,,EN,VU,,,,,
Tachigali paniculata,449827806,0.084,0.411,0.143,0.424,0.222,0.003,0.141,0.035,,VU,,,,,,
Aparisthmium cordatum,446040085,0.052,0.381,0.227,0.584,0.318,0.004,0.171,0.041,,EN,VU,,,,,
Protium decandrum,442773629,0.089,0.400,0.151,0.428,0.245,0.010,0.150,0.045,,VU,,,,,,
Eschweilera amazonica,441435655,0.032,0.573,0.074,0.593,0.233,0.002,0.315,0.080,,EN,,,,,,
Simarouba amara,438441132,0.076,0.413,0.130,0.472,0.240,0.003,0.158,0.043,,VU,,,,,,
Sagotia racemosa,437139566,0.066,0.459,0.159,0.510,0.270,0.013,0.222,0.061,,EN,,,,,,
Bocageopsis multiflora,436551859,0.067,0.430,0.081,0.428,0.198,0.001,0.163,0.044,,VU,,,,,,
Macrolobium angustifolium,434735955,0.078,0.378,0.067,0.329,0.146,0.002,0.102,0.024,,VU,,,,,,
Pouteria cuspidata,431085234,0.089,0.420,0.078,0.309,0.168,0.002,0.104,0.037,,VU,,,,,,
Trichilia quadrijuga,429746414.4,0.049725083,0.424077923,0.289319653,0.583459651,0.333520684,0.006249743,0.146675302,0.023424738,,EN,VU,,,,,
Protium spruceanum,428765433,0.044,0.510,0.127,0.594,0.256,0.004,0.272,0.055,,EN,,,,,,
Eschweilera truncata,428565044,0.030,0.575,0.053,0.638,0.222,0.000,0.354,0.076,,EN,,,,,,
Ocotea aciphylla,419800116,0.090,0.460,0.053,0.241,0.126,0.001,0.077,0.030,,,,,,,,
Geissospermum sericeum,418495044,0.056,0.486,0.080,0.537,0.234,0.001,0.259,0.067,,EN,,,,,,
Eperua purpurea,418320989,0.114,0.599,0.025,0.196,0.094,0.002,0.089,0.040,,,,,,,,
Quararibea wittii,418114551,0.170,0.366,0.051,0.318,0.183,0.001,0.077,0.037,,VU,,,,,,
Zygia racemosa,407196300.9,0.059398939,0.46707192,0.086364513,0.538696512,0.251158106,0.002175158,0.227624236,0.063295974,,EN,,,,,,
Guarea guidonia,407172760,0.093,0.367,0.111,0.401,0.216,0.002,0.129,0.043,,VU,,,,,,
Xylopia amazonica,405650554.9,0.039400442,0.357656253,0.228303223,0.527178204,0.297180705,0.004048546,0.088048105,0.022417146,,EN,,,,,,
Manilkara bidentata,402644678,0.087,0.412,0.045,0.314,0.156,0.001,0.110,0.037,,VU,,,,,,
Vatairea guianensis,399223014.9,0.068274616,0.433413126,0.086259221,0.41693748,0.181810803,0.001979886,0.153769782,0.026140847,,VU,,,,,,
Virola sebifera,398396335.5,0.10150727,0.386277594,0.103756086,0.28087598,0.177568139,0.002334241,0.063683564,0.033363854,,,,,,,,
Matisia ochrocalyx,398283197,0.075,0.460,0.084,0.475,0.227,0.001,0.185,0.057,,VU,,,,,,
Caryocar glabrum,397758694,0.090,0.430,0.083,0.368,0.193,0.003,0.134,0.047,,VU,,,,,,
Leopoldinia piassaba,395617761,0.125,0.581,0.045,0.163,0.107,0.003,0.079,0.048,,,,,,,,
Spondias mombin,394090933,0.116,0.395,0.094,0.383,0.179,0.001,0.128,0.027,,VU,,,,,,
Protium amazonicum,391607900,0.073,0.457,0.072,0.389,0.192,0.001,0.158,0.049,,VU,,,,,,
Clarisia racemosa,390650962,0.088,0.375,0.118,0.420,0.238,0.002,0.118,0.037,,VU,,,,,,
Celtis schippii,384918067,0.136,0.299,0.124,0.373,0.228,0.001,0.072,0.030,,VU,,,,,,
Unonopsis guatterioides,382241140.7,0.07257024,0.370917994,0.051630891,0.319544122,0.148411567,0.000462414,0.095543225,0.026124764,,VU,,,,,,
Laetia procera,382138544,0.061,0.376,0.192,0.538,0.304,0.006,0.171,0.047,,EN,VU,,,,,
Astrocaryum jauari,377481251,0.048,0.439,0.051,0.437,0.204,0.001,0.168,0.051,,VU,,,,,,
Inga capitata,376838806,0.089,0.392,0.210,0.486,0.276,0.006,0.146,0.030,,VU,,,,,,
Macrolobium limbatum,375840224,0.081,0.534,0.037,0.305,0.128,0.001,0.153,0.043,,VU,,,,,,
Brosimum utile,371243868,0.119,0.457,0.043,0.189,0.110,0.002,0.067,0.034,,,,,,,,
Mabea nitida,370180385,0.059,0.414,0.027,0.167,0.081,0.001,0.061,0.016,,,,,,,,
Hirtella racemosa,367173847,0.051,0.340,0.183,0.518,0.286,0.003,0.104,0.026,,EN,,,,,,
